NHGISCODE|GJOIN1970|GJOIN1980|GJOIN1990|GJOIN2000|GJOIN2012|STATE|COUNTY|TRACTA|Total_1970|Total_1980|Total_1990|Total_2000|Total_2010|High_Attainment_1970|High_Attainment_1980|High_Attainment_1990|High_Attainment_2000|High_Attainment_2010
G1700190010201||G1700190010201|G1700190010201|G1700190010201||Illinois|Champaign County|10201|0.0|538.0|686.0|898.0|0.0||0.12267657992565056|0.26676384839650147|0.2182628062360802|
G1700190010202||G1700190010202|G1700190010202|||Illinois|Champaign County|10202|0.0|222.0|156.0|0.0|0.0||0.036036036036036036|0.24358974358974358||
G1700190010203||G1700190010203|G1700190010203|G1700190010203||Illinois|Champaign County|10203|0.0|2023.0|2236.0|2151.0|0.0||0.10973801285219971|0.08989266547406083|0.1390051139005114|
G1700190010204|||||G1700190010204|Illinois|Champaign County|10204|0.0|0.0|0.0|0.0|2912.0|||||0.16346153846153846
G1700190010300|G17001900103|G17001900103|G17001900103|G1700190010300|G1700190010300|Illinois|Champaign County|10300|2134.0|2448.0|3502.0|1811.0|2226.0|0.038425492033739454|0.19607843137254902|0.22101656196459166|0.2037548315847598|0.13656783468104222
G1700190010400|G17001900104|G17001900104|G17001900104|G1700190010400|G1700190010400|Illinois|Champaign County|10400|3580.0|3036.0|3469.0|3434.0|3315.0|0.14134078212290502|0.06653491436100131|0.07812049582012107|0.12114152591729761|0.17104072398190046
G1700190010500|G17001900105|G17001900105|G17001900105|G1700190010500|G1700190010500|Illinois|Champaign County|10500|1885.0|2200.0|2406.0|2901.0|2949.0|0.07745358090185676|0.12045454545454545|0.15627597672485452|0.2078593588417787|0.18752119362495762
G1700190010600|G17001900106|G17001900106||||Illinois|Champaign County|10600|3297.0|5312.0|0.0|0.0|0.0|0.10524719441916894|0.17545180722891565|||
G1700190010601|||G1700190010601|G1700190010601|G1700190010601|Illinois|Champaign County|10601|0.0|0.0|2689.0|3038.0|3774.0|||0.28523614726664187|0.3650427913100724|0.4467408585055644
G1700190010602|||G1700190010602|G1700190010602||Illinois|Champaign County|10602|0.0|0.0|4162.0|5055.0|0.0|||0.2071119654012494|0.2793273986152324|
G1700190010603|||||G1700190010603|Illinois|Champaign County|10603|0.0|0.0|0.0|0.0|4434.0|||||0.4190347316193054
G1700190010604|||||G1700190010604|Illinois|Champaign County|10604|0.0|0.0|0.0|0.0|2129.0|||||0.2353217472992015
